,downtown,northwest_heights,laurelhurst
area_km,0.505,0.504,0.506
avg_neighbor_degree_avg,1.64,2.75,2.976
avg_weighted_neighbor_degree_avg,0.024,0.03,0.059
betweenness_centrality_avg,0.07,0.137,0.077
center,[40528446],[40618935],[40495960]
circuity_avg,1.001,1.09,1.007
closeness_centrality_avg,0.002,0.002,0.002
clustering_coefficient_avg,0.0,0.0,0.108
clustering_coefficient_weighted_avg,0.0,0.0,0.023
count_intersections,82.0,14.0,55.0
degree_centrality_avg,0.042,0.219,0.102
diameter,1278.312,898.466,1021.904
edge_connectivity,1.0,1.0,1.0
edge_density_km,21147.357,10647.592,29277.074
edge_length_avg,76.261,116.597,97.375
edge_length_total,10676.509,5363.461,14801.056
intersection_density_km,162.42,27.793,108.792
k_avg,3.415,4.381,5.527
m,140.0,46.0,152.0
n,82.0,21.0,55.0
node_connectivity,1.0,1.0,1.0
node_connectivity_avg,1.326,1.443,2.107
node_connectivity_avg_undir,2.868,1.443,2.496
node_density_km,162.42,41.689,108.792
pagerank_max,0.03,0.106,0.029
pagerank_max_node,40617168,40470781,40496549
pagerank_min,0.002,0.017,0.004
pagerank_min_node,40531456,40652540,40493119
periphery,[662764989],[40777134],[40496035]
radius,742.926,561.815,537.055
self_loop_proportion,0.0,0.0,0.0
street_density_km,21147.357,5323.796,15431.756
street_length_avg,76.261,116.597,91.783
street_length_total,10676.509,2681.731,7801.541
street_segments_count,140.0,23.0,85.0
streets_per_node_avg,3.927,2.381,3.582
