,0
Outer Sunset,0.096
Diamond Heights,0.113
Mission,0.146
Seacliff,0.15
Pacific Heights,0.15
Bayview,0.161
Nob Hill,0.165
Inner Richmond,0.174
Marina,0.186
Parkside,0.193
Lakeshore,0.194
Bernal Heights,0.199
Outer Richmond,0.204
Excelsior,0.206
Downtown,0.207
Glen Park,0.209
Western Addition,0.213
Financial District,0.216
Noe Valley,0.218
West Of Twin Peaks,0.232
Castro-Upper Market,0.241
Russian Hill,0.254
Potrero Hill,0.261
Visitacion Valley,0.262
Inner Sunset,0.271
Outer Mission,0.279
Ocean View,0.285
Haight-Ashbury,0.286
Presidio Heights,0.292
Crocker Amazon,0.301
South Of Market,0.31
North Beach,0.317
Chinatown,0.362
Twin Peaks,0.371
