,area_km,avg_neighbor_degree_avg,avg_weighted_neighbor_degree_avg,betweenness_centrality_avg,center,circuity_avg,closeness_centrality_avg,clustering_coefficient_avg,clustering_coefficient_weighted_avg,count_intersections,degree_centrality_avg,diameter,edge_connectivity,edge_density_km,edge_length_avg,edge_length_total,intersection_density_km,k_avg,m,n,node_connectivity,node_connectivity_avg,node_density_km,pagerank_max,pagerank_max_node,pagerank_min,pagerank_min_node,periphery,radius,self_loop_proportion,street_density_km,street_length_avg,street_length_total,street_segments_count,streets_per_node_avg
Bayview,12.859,2.918,0.036,0.021,[65300597],1.055,0.0,0.047,0.003,651.0,0.007,6822.81,1.0,18675.849,118.124,240145.746,50.627,5.294,2033.0,768.0,1.0,1.74,59.726,0.005,65280184,0.0,259408082,[662020555],3194.905,0.001,10623.383,118.373,136602.103,1154.0,3.081
Bernal Heights,2.992,2.754,0.047,0.029,[65343556],1.027,0.001,0.05,0.004,377.0,0.011,3898.534,1.0,31988.185,87.477,95699.299,126.015,4.995,1094.0,438.0,1.0,1.609,146.405,0.009,65335166,0.0,766912762,[315706802],1954.814,0.0,18675.431,90.553,55871.431,617.0,2.984
Castro-Upper Market,2.276,2.874,0.036,0.035,[65296327],1.017,0.001,0.049,0.006,231.0,0.021,2678.974,1.0,30646.386,103.79,69747.037,101.5,5.355,672.0,251.0,1.0,1.978,110.288,0.009,65312208,0.001,65335951,[581074075],1384.393,0.0,17547.687,102.928,39936.167,388.0,3.315
Chinatown,0.356,2.004,0.026,0.127,[65295293],1.001,0.002,0.044,0.009,41.0,0.095,1474.97,1.0,20325.079,88.192,7231.737,115.232,3.905,82.0,42.0,1.0,1.349,118.043,0.065,65333988,0.008,-2147483648,[65333988],745.463,0.0,15731.045,88.844,5597.163,63.0,3.667
Crocker Amazon,1.196,2.728,0.041,0.047,[65343941],1.023,0.001,0.047,0.01,108.0,0.038,2351.88,1.0,24139.515,97.566,28879.486,90.274,4.698,296.0,126.0,1.0,1.118,105.32,0.018,65317212,0.001,597367424,[65350943],1179.792,0.0,13424.035,97.926,16059.943,164.0,3.048
Diamond Heights,0.894,2.24,0.044,0.032,[65297575],1.186,0.001,0.16,0.034,43.0,0.086,863.966,1.0,14610.339,134.625,13058.667,48.109,4.042,97.0,48.0,1.0,0.507,53.704,0.056,65371386,0.003,1614214693,[3701267856],453.874,0.0,8498.855,130.97,7596.245,58.0,3.083
Downtown,1.67,2.104,0.03,0.052,[65360273],1.001,0.001,0.06,0.005,156.0,0.026,2850.231,1.0,20104.174,102.697,33581.767,93.391,4.088,327.0,160.0,1.0,1.533,95.786,0.018,65354417,0.001,1723739150,[4061762662],1401.355,0.0,16294.465,102.324,27218.076,266.0,3.681
Excelsior,4.381,3.276,0.036,0.035,[65313337],1.014,0.001,0.03,0.003,320.0,0.018,4684.844,1.0,28883.083,117.263,126526.799,73.048,6.183,1079.0,349.0,1.0,2.315,79.668,0.006,1386857093,0.0,764927041,[65310255],2348.667,0.0,15168.67,118.447,66448.701,561.0,3.381
Financial District,1.811,2.282,0.03,0.058,[1723738831],1.014,0.001,0.073,0.009,121.0,0.035,2180.245,1.0,15340.071,102.538,27787.922,66.797,4.336,271.0,125.0,1.0,1.558,69.005,0.039,65317521,0.001,65317538,[65306800],1105.113,0.004,11909.504,104.726,21573.589,206.0,3.64
Glen Park,0.965,2.64,0.04,0.051,[65309997],1.031,0.001,0.015,0.001,106.0,0.044,2479.433,1.0,29506.501,100.967,28472.585,109.849,4.947,282.0,114.0,1.0,1.685,118.14,0.022,65284433,0.001,65335105,[65299521],1272.663,0.0,16745.726,102.272,16158.951,158.0,3.149
