,mean,std,min,50%,max
area_km,16.703,107.499,0.039,3.918,7434.258
avg_neighbor_degree_avg,2.94,0.297,0.4,2.953,3.735
avg_weighted_neighbor_degree_avg,0.033,0.141,0.0,0.029,9.357
circuity_avg,1.067,0.159,1.0,1.055,20.452
clustering_coefficient_avg,0.048,0.041,0.0,0.04,1.0
clustering_coefficient_weighted_avg,0.01,0.018,0.0,0.005,0.524
count_intersections,323.834,1266.253,0.0,83.0,62996.0
degree_centrality_avg,0.093,0.136,0.0,0.052,2.667
edge_density_km,12654.974,6705.182,5.602,11814.33,58603.421
edge_length_avg,161.184,80.769,25.822,144.447,3036.957
edge_length_total,159067.032,578521.226,51.644,40985.855,24728326.42
geoid,2998207.202,1460956.659,100124.0,2933850.0,5686665.0
int_1_streets_prop,0.192,0.093,0.0,0.184,1.0
int_3_streets_prop,0.572,0.11,0.0,0.579,1.0
int_4_streets_prop,0.237,0.129,0.0,0.217,1.0
intersection_density_km,29.363,21.607,0.0,24.719,259.647
k_avg,5.251,0.668,0.8,5.268,7.166
m,1046.358,3923.863,2.0,275.0,176161.0
n,400.666,1515.772,2.0,103.0,71993.0
node_density_km,35.449,24.409,0.047,30.718,296.74
pagerank_max,0.034,0.046,0.0,0.021,0.87
pagerank_min,0.005,0.018,0.0,0.002,0.5
self_loop_proportion,0.005,0.015,0.0,0.0,1.0
street_density_km,6527.859,3434.689,2.801,6109.256,29301.71
street_length_avg,162.408,81.035,25.822,145.479,3036.957
street_length_total,86096.205,331048.806,25.822,21004.789,15348008.484
street_segments_count,557.52,2208.18,1.0,140.0,107393.0
streets_per_node_avg,2.851,0.282,1.0,2.852,4.0
