,mean,std,min,50%,max
area_km,5.322,15.463,0.008,1.738,323.306
avg_neighbor_degree_avg,2.598,0.436,0.0,2.67,3.632
avg_weighted_neighbor_degree_avg,0.031,0.041,0.0,0.029,2.991
circuity_avg,1.08,0.411,1.0,1.044,24.29
clustering_coefficient_avg,0.044,0.055,0.0,0.034,1.0
clustering_coefficient_weighted_avg,0.01,0.027,0.0,0.005,0.799
count_intersections,173.082,378.915,0.0,76.0,8371.0
degree_centrality_avg,0.13,0.27,0.001,0.054,4.0
edge_density_km,17569.063,7095.526,25.152,18151.75,59939.342
edge_length_avg,142.279,59.182,8.447,133.848,2231.331
edge_length_total,71369.146,166566.137,17.122,29879.812,3563409.464
geoid,2760461.348,1728781.136,150000.0,2743000.0,5553000.0
int_1_streets_prop,0.17,0.131,0.0,0.145,1.0
int_3_streets_prop,0.559,0.146,0.0,0.574,1.0
int_4_streets_prop,0.275,0.176,0.0,0.234,1.0
intersection_density_km,49.497,28.33,0.0,46.43,444.355
k_avg,4.675,0.836,0.545,4.736,7.283
m,520.801,1184.536,1.0,217.0,27289.0
n,207.822,459.201,2.0,90.0,9327.0
node_density_km,58.677,31.802,0.063,55.626,499.9
pagerank_max,0.055,0.086,0.0,0.026,0.889
pagerank_min,0.01,0.041,0.0,0.002,0.5
self_loop_proportion,0.007,0.034,0.0,0.0,1.0
street_density_km,9744.196,4084.963,12.576,9882.433,33736.942
street_length_avg,143.664,60.023,7.376,134.877,2231.331
street_length_total,40049.207,93987.339,8.561,16248.468,1960643.288
street_segments_count,288.184,655.632,1.0,119.0,14754.0
streets_per_node_avg,2.925,0.408,1.0,2.944,4.026
