area,circuity_avg,city,edge_density_km,edge_length_avg,edge_length_total,geoid,k_avg,m,n,nhood,node_density_km,self_loop_proportion,state,street_density_km,street_length_avg,street_length_total,street_segments_count,streets_per_intersection_avg,streets_per_intersection_counts,streets_per_intersection_proportion,time
4088216.1489199568,1.1373835716780927,Mobile,26148.35863866189,82.99700470056537,106900.1420543282,0150000,5.0808678500986195,1288,507,Airmont,124.01496925106115,0.017857142857142856,AL,14050.135589915617,84.84489100916993,57439.99121320804,677,2.7928994082840237,"{0: 0, 1: 81, 2: 1, 3: 371, 4: 51, 5: 2, 6: 1}","{0: 0.0, 1: 0.15976331360946747, 2: 0.0019723865877712033, 3: 0.7317554240631163, 4: 0.10059171597633136, 5: 0.0039447731755424065, 6: 0.0019723865877712033}",0.16060876846313477
4050472.786006456,1.055702180054041,Mobile,6714.4431357122285,116.72390212184649,27196.669194390233,0150000,4.160714285714286,233,112,Alderbrook,27.65109307410651,0.0,AL,3378.17120198025,115.95924169569254,13683.190520091719,118,2.3482142857142856,"{0: 0, 1: 40, 2: 1, 3: 63, 4: 8}","{0: 0.0, 1: 0.35714285714285715, 2: 0.008928571428571428, 3: 0.5625, 4: 0.07142857142857142}",0.024012327194213867
5270350.58311956,1.076186966655314,Mobile,9012.824341269237,116.99690645951353,47500.74402256249,0150000,5.2727272727272725,406,154,Alligator Bayou,29.220067540335474,0.024630541871921183,AL,4600.773451894697,116.5754281009337,24247.68904499421,208,2.7467532467532467,"{0: 0, 1: 25, 2: 0, 3: 118, 4: 11}","{0: 0.0, 1: 0.16233766233766234, 2: 0.0, 3: 0.7662337662337663, 4: 0.07142857142857142}",0.03952813148498535
7183358.51510054,1.1901530764483694,Mobile,1242.7888745247863,223.18495110724598,8927.39804428984,0150000,2.962962962962963,40,27,Argyle,3.758687519666712,0.05,AL,648.3397069310496,221.7741216409973,4657.256554460943,21,2.185185185185185,"{0: 0, 1: 13, 2: 0, 3: 10, 4: 4}","{0: 0.0, 1: 0.48148148148148145, 2: 0.0, 3: 0.37037037037037035, 4: 0.14814814814814814}",0.0055158138275146484
891470.0026805424,1.0354488342248171,Mobile,22754.558131291647,98.47090290435497,20285.005998297125,0150000,4.204081632653061,206,98,Arlington,109.93078814242303,0.0,AL,14267.681867353798,105.9934199377918,12719.210392535017,120,2.7346938775510203,"{0: 0, 1: 19, 2: 2, 3: 63, 4: 14}","{0: 0.0, 1: 0.19387755102040816, 2: 0.02040816326530612, 3: 0.6428571428571429, 4: 0.14285714285714285}",0.01951432228088379
6679002.297607069,1.103872782700975,Mobile,3980.5931802346818,140.6687354318861,26586.39099662647,0150000,3.9375,189,96,Audubon,14.373404248475039,0.0,AL,2428.9920584547513,151.61909849802436,16223.243539288607,107,2.4895833333333335,"{0: 0, 1: 29, 2: 0, 3: 58, 4: 9}","{0: 0.0, 1: 0.3020833333333333, 2: 0.0, 3: 0.6041666666666666, 4: 0.09375}",0.0510258674621582
3901593.4227089146,1.2010378213526816,Mobile,7500.710172277373,139.35581654192023,29264.72147380325,0150000,4.421052631578948,210,95,Autumndale,24.349026079206524,0.01904761904761905,AL,3815.971608443989,139.14364232475725,14888.369728749027,107,2.536842105263158,"{0: 0, 1: 25, 2: 0, 3: 64, 4: 6}","{0: 0.0, 1: 0.2631578947368421, 2: 0.0, 3: 0.6736842105263158, 4: 0.06315789473684211}",0.04583024978637695
4224966.760062079,1.171115454199086,Mobile,10478.501739254438,147.57107181200897,44271.32154360269,0150000,4.511278195488722,300,133,Azalea,31.479537604230945,0.013333333333333334,AL,5341.4118017957035,148.46899548940885,22567.287314390145,152,2.518796992481203,"{0: 0, 1: 34, 2: 0, 3: 95, 4: 4}","{0: 0.0, 1: 0.2556390977443609, 2: 0.0, 3: 0.7142857142857143, 4: 0.03007518796992481}",0.08014225959777832
3796124.3865319435,1.0862498776104843,Mobile,12065.945858386673,109.05674123713274,45803.83131959575,0150000,4.221105527638191,420,199,Baker,52.42188604409827,0.009523809523809525,AL,6131.514467260217,108.76631586700901,23275.99159553993,214,2.3266331658291457,"{0: 0, 1: 72, 2: 0, 3: 117, 4: 10}","{0: 0.0, 1: 0.36180904522613067, 2: 0.0, 3: 0.5879396984924623, 4: 0.05025125628140704}",0.07346510887145996
1911146.4230852923,1.0367067323247574,Mobile,24570.89070394321,105.28827327547248,46958.56988086073,0150000,5.506172839506172,446,162,Baltimore,84.76587562478467,0.004484304932735426,AL,12771.978290242203,104.7601743567356,24409.120625119394,233,3.2098765432098766,"{0: 0, 1: 9, 2: 0, 3: 104, 4: 47, 5: 1, 6: 1}","{0: 0.0, 1: 0.05555555555555555, 2: 0.0, 3: 0.6419753086419753, 4: 0.29012345679012347, 5: 0.006172839506172839, 6: 0.006172839506172839}",0.09494686126708984
12327174.850761598,1.1989601527419997,Mobile,5158.876527358092,115.83674496581601,63594.37298623299,0150000,4.357142857142857,549,252,Bates,20.44264018729571,0.02185792349726776,AL,2951.5482060160098,116.24361283070628,36384.25081601107,313,2.7023809523809526,"{0: 0, 1: 50, 2: 3, 3: 171, 4: 28}","{0: 0.0, 1: 0.1984126984126984, 2: 0.011904761904761904, 3: 0.6785714285714286, 4: 0.1111111111111111}",0.10985469818115234
6680766.070059144,1.1080686953272496,Mobile,8646.567578435652,158.26217890544208,57765.69530048636,0150000,4.67948717948718,365,156,Bayside,23.350615537810466,0.03287671232876712,AL,4556.051454535511,159.3608061303898,30437.91397090445,191,2.4935897435897436,"{0: 0, 1: 42, 2: 0, 3: 109, 4: 5}","{0: 0.0, 1: 0.2692307692307692, 2: 0.0, 3: 0.6987179487179487, 4: 0.03205128205128205}",0.07986569404602051
2728377.1616380303,1.0576491631513798,Mobile,13874.203469238417,145.59253800534316,37854.05988138922,0150000,4.369747899159663,260,119,Bayview,43.61567076325922,0.007692307692307693,AL,7099.592709289762,147.86539393097752,19370.366604958053,131,2.4705882352941178,"{0: 0, 1: 33, 2: 0, 3: 83, 4: 3}","{0: 0.0, 1: 0.2773109243697479, 2: 0.0, 3: 0.6974789915966386, 4: 0.025210084033613446}",0.05505967140197754
6477436.821980753,1.0964449674996934,Mobile,7322.76737829616,129.59771326495905,47432.76305497501,0150000,4.463414634146342,366,164,Beau Terra,25.31865682479169,0.0273224043715847,AL,3729.775487063374,128.50736743417818,24159.385077625495,188,2.5609756097560976,"{0: 0, 1: 41, 2: 0, 3: 113, 4: 10}","{0: 0.0, 1: 0.25, 2: 0.0, 3: 0.6890243902439024, 4: 0.06097560975609756}",0.05985689163208008
5273375.762371246,1.1120385153237933,Mobile,5981.485902239919,142.08388639566346,31542.62277983729,0150000,4.396039603960396,222,101,Bell Aire,19.152816820052276,0.009009009009009009,AL,3159.26917272708,148.7501203773718,16660.01348226564,112,2.5643564356435644,"{0: 0, 1: 25, 2: 0, 3: 71, 4: 4, 5: 1}","{0: 0.0, 1: 0.24752475247524752, 2: 0.0, 3: 0.7029702970297029, 4: 0.039603960396039604, 5: 0.009900990099009901}",0.04565119743347168
2935594.296322723,1.137352283234243,Mobile,16976.9610933456,142.39277187005175,49837.470154518116,0150000,4.605263157894737,350,152,Bellewood,51.778272014768206,0.022857142857142857,AL,8636.212441949172,139.2989889363589,25352.415986417323,182,2.6578947368421053,"{0: 0, 1: 34, 2: 1, 3: 100, 4: 17}","{0: 0.0, 1: 0.2236842105263158, 2: 0.006578947368421052, 3: 0.6578947368421053, 4: 0.1118421052631579}",0.12310266494750977
4915671.559531759,1.0805627588801956,Mobile,7693.301089549565,144.34252429318127,37817.74136481349,0150000,4.478632478632479,262,117,Bellfontaine,23.80142745158198,0.007633587786259542,AL,3864.734942788034,143.9224821469071,18997.767643391737,132,2.376068376068376,"{0: 0, 1: 41, 2: 0, 3: 67, 4: 9}","{0: 0.0, 1: 0.3504273504273504, 2: 0.0, 3: 0.5726495726495726, 4: 0.07692307692307693}",0.03974509239196777
4049860.284970001,1.0953319647541093,Mobile,8637.221789268879,189.07860268560844,34979.54149683756,0150000,4.352941176470588,185,85,Bellmont,20.98837836837367,0.021621621621621623,AL,4495.207900323889,191.6311994547906,18204.963948205106,95,2.447058823529412,"{0: 0, 1: 24, 2: 0, 3: 60, 4: 1}","{0: 0.0, 1: 0.2823529411764706, 2: 0.0, 3: 0.7058823529411765, 4: 0.011764705882352941}",0.025472402572631836
2034895.083205587,1.109278789947265,Mobile,11744.236421443522,125.12193167538953,23898.2889499994,0150000,4.441860465116279,191,86,Belmeade,42.262621159083785,0.07329842931937172,AL,6140.169610683355,121.3068053478439,12494.600950827922,103,2.6627906976744184,"{0: 0, 1: 17, 2: 0, 3: 65, 4: 3, 5: 1}","{0: 0.0, 1: 0.19767441860465115, 2: 0.0, 3: 0.7558139534883721, 4: 0.03488372093023256, 5: 0.011627906976744186}",0.04085040092468262
3221635.060931161,1.144663359148111,Mobile,30020.67535263347,86.35326809721066,96715.66026887593,0150000,4.735729386892178,1120,473,Berkleigh,146.81985732526982,0.045535714285714284,AL,17283.34744883329,82.12483497259066,55680.63811141647,678,2.940803382663848,"{0: 0, 1: 54, 2: 8, 3: 327, 4: 80, 5: 4}","{0: 0.0, 1: 0.11416490486257928, 2: 0.016913319238900635, 3: 0.6913319238900634, 4: 0.16913319238900634, 5: 0.008456659619450317}",0.13543272018432617
9337339.661399264,1.2022243888084414,Mobile,1958.5891880189365,217.71443459139283,18288.012505676998,0150000,3.0545454545454547,84,55,Beverly,5.890328722577269,0.023809523809523808,AL,1005.5936059239161,218.36207115913686,9389.569059842885,43,2.2181818181818183,"{0: 0, 1: 22, 2: 0, 3: 32, 4: 1}","{0: 0.0, 1: 0.4, 2: 0.0, 3: 0.5818181818181818, 4: 0.01818181818181818}",0.015253543853759766
5254451.01499913,1.1196113805877128,Mobile,8788.698293070649,124.13920609286609,46179.784666546184,0150000,4.376470588235295,372,170,Bienville,32.353522663875886,0.07526881720430108,AL,4600.118544072683,116.7685872126523,24171.097553019026,207,2.588235294117647,"{0: 0, 1: 38, 2: 0, 3: 126, 4: 6}","{0: 0.0, 1: 0.2235294117647059, 2: 0.0, 3: 0.7411764705882353, 4: 0.03529411764705882}",0.09774398803710938
3495211.2671174956,1.1564880339433254,Mobile,11934.012955074422,119.86177167385712,41711.896542502276,0150000,5.08029197080292,348,137,Big Creek,39.19648614344965,0.011494252873563218,AL,6111.811654675401,121.3754145336448,21362.072957921486,176,2.7518248175182483,"{0: 0, 1: 23, 2: 0, 3: 103, 4: 10, 5: 1}","{0: 0.0, 1: 0.1678832116788321, 2: 0.0, 3: 0.7518248175182481, 4: 0.072992700729927, 5: 0.0072992700729927005}",0.07154250144958496
6402166.611001652,1.2179150663531955,Mobile,5723.146995353948,176.15644520918016,36640.54060350947,0150000,4.038834951456311,208,103,Blackstone,16.088303578823158,0.038461538461538464,AL,3227.394175588378,186.14698406750554,20662.315231493114,111,2.3592233009708736,"{0: 0, 1: 36, 2: 0, 3: 62, 4: 4, 5: 1}","{0: 0.0, 1: 0.34951456310679613, 2: 0.0, 3: 0.6019417475728155, 4: 0.038834951456310676, 5: 0.009708737864077669}",0.028490066528320312
2824763.609822892,1.2933764227888067,Mobile,41748.9881096815,69.41202022316476,117931.02235915692,0150000,5.164133738601824,1699,658,Bolton,232.93984590847072,0.00824014125956445,AL,22425.413394920797,70.77820300916996,63346.491693207114,895,2.790273556231003,"{0: 0, 1: 100, 2: 1, 3: 496, 4: 59, 5: 2}","{0: 0.0, 1: 0.1519756838905775, 2: 0.001519756838905775, 3: 0.7537993920972644, 4: 0.08966565349544073, 5: 0.00303951367781155}",0.23798751831054688
8416192.221233863,1.1533171791190941,Mobile,12251.4152020028,118.11026955578724,103110.26532220226,0150000,5.339449541284404,873,327,Brookley Industrial Park,38.85367532064992,0.027491408934707903,AL,6606.302738029434,121.13270961856055,55599.9137149193,459,2.7981651376146788,"{0: 0, 1: 51, 2: 0, 3: 242, 4: 32, 5: 2}","{0: 0.0, 1: 0.1559633027522936, 2: 0.0, 3: 0.7400611620795107, 4: 0.09785932721712538, 5: 0.0061162079510703364}",0.12059855461120605
2870267.9901270303,1.1455459944279862,Mobile,25413.6062722791,102.73783182678059,72943.86059701422,0150000,5.239852398523985,710,271,Brookwood,94.41627086117707,0.005633802816901409,AL,13493.480057980629,100.85912470270631,38729.90388583922,384,3.0,"{0: 0, 1: 19, 2: 2, 3: 210, 4: 40}","{0: 0.0, 1: 0.07011070110701106, 2: 0.007380073800738007, 3: 0.7749077490774908, 4: 0.14760147601476015}",0.10827302932739258
3428383.0388727877,1.1831818491019517,Mobile,4473.130664550425,127.79671084172031,15335.605301006437,0150000,3.8095238095238093,120,63,Camelia,18.376009706521494,0.03333333333333333,AL,2344.5482124775926,129.6453117012531,8038.009325477691,62,2.3492063492063493,"{0: 0, 1: 22, 2: 0, 3: 38, 4: 3}","{0: 0.0, 1: 0.3492063492063492, 2: 0.0, 3: 0.6031746031746031, 4: 0.047619047619047616}",0.026423215866088867
4508416.132874612,1.1608313455540382,Mobile,13258.906457993735,92.39052207031582,59776.66777949434,0150000,4.996138996138996,647,259,Canterbury,57.4481131214609,0.03245749613601236,AL,7175.251130458103,91.64027749003996,32349.01795398411,353,2.752895752895753,"{0: 0, 1: 40, 2: 4, 3: 195, 4: 20}","{0: 0.0, 1: 0.15444015444015444, 2: 0.015444015444015444, 3: 0.752895752895753, 4: 0.07722007722007722}",0.12234306335449219
2944928.0973561225,1.098943911938569,Mobile,24357.40582386149,109.84809921806333,71730.80878939535,0150000,5.081712062256809,653,257,Carlen,87.2686841592933,0.021439509954058193,AL,12981.886710507892,108.91943854834398,38230.722930468735,351,3.0700389105058368,"{0: 0, 1: 20, 2: 2, 3: 177, 4: 56, 5: 2}","{0: 0.0, 1: 0.07782101167315175, 2: 0.007782101167315175, 3: 0.688715953307393, 4: 0.2178988326848249, 5: 0.007782101167315175}",0.08653450012207031
2394040.949602039,1.0842634619869995,Mobile,22531.994470461505,130.92844038468823,53942.51743849155,0150000,5.282051282051282,412,156,Carver,65.16179266939099,0.01699029126213592,AL,11590.32395642126,130.27093976913622,27747.710170826016,213,2.8653846153846154,"{0: 0, 1: 21, 2: 2, 3: 110, 4: 23}","{0: 0.0, 1: 0.1346153846153846, 2: 0.01282051282051282, 3: 0.7051282051282052, 4: 0.14743589743589744}",0.06363582611083984
5104785.797349736,1.1375018386758788,Mobile,9570.89047091287,173.25299909186504,48857.34574390594,0150000,3.9166666666666665,282,144,Cedar Grove,28.208823193866593,0.0070921985815602835,AL,5882.456599122428,198.86543642865166,30028.680900726402,151,2.4097222222222223,"{0: 0, 1: 46, 2: 0, 3: 91, 4: 7}","{0: 0.0, 1: 0.3194444444444444, 2: 0.0, 3: 0.6319444444444444, 4: 0.04861111111111111}",0.04137563705444336
2380989.701418027,1.0237110201618296,Mobile,29466.870133107892,85.77055540336471,70160.31431995233,0150000,4.742028985507246,818,345,Central Business District,144.8977287867021,0.0,AL,21099.409201122333,88.91588675022483,50237.47601387703,565,3.4260869565217393,"{0: 0, 1: 27, 2: 2, 3: 116, 4: 197, 5: 3}","{0: 0.0, 1: 0.0782608695652174, 2: 0.005797101449275362, 3: 0.336231884057971, 4: 0.5710144927536231, 5: 0.008695652173913044}",0.15771865844726562
4744963.282537046,1.0381805019197647,Mobile,5722.26897117214,191.2109588803721,27151.956161012837,0150000,4.176470588235294,142,68,Churchill,14.330985499985077,0.014084507042253521,AL,2886.5710041545817,190.2315753770775,13696.673427149579,72,2.485294117647059,"{0: 0, 1: 21, 2: 0, 3: 40, 4: 7}","{0: 0.0, 1: 0.3088235294117647, 2: 0.0, 3: 0.5882352941176471, 4: 0.10294117647058823}",0.02080535888671875
2749689.7672430384,1.2296653273263243,Mobile,21088.16456849018,96.64318387319109,57985.91032391466,0150000,4.838709677419355,600,248,Claremont,90.19199291295172,0.11,AL,11819.632573496532,91.03731859920424,32500.322739915915,357,2.8870967741935485,"{0: 0, 1: 27, 2: 1, 3: 193, 4: 27}","{0: 0.0, 1: 0.10887096774193548, 2: 0.004032258064516129, 3: 0.7782258064516129, 4: 0.10887096774193548}",0.09740662574768066
3147664.180460064,1.0673037341729534,Mobile,17456.095348258073,124.5939366403798,54945.92605840749,0150000,5.011363636363637,441,176,Cody,55.91447813669747,0.04081632653061224,AL,8917.520086399534,122.04068936736066,28069.358554492952,230,2.6988636363636362,"{0: 0, 1: 37, 2: 0, 3: 118, 4: 21}","{0: 0.0, 1: 0.21022727272727273, 2: 0.0, 3: 0.6704545454545454, 4: 0.11931818181818182}",0.07973861694335938
4947446.161455114,1.1219329106745504,Mobile,20413.338232219925,107.78430296636222,100993.8918794814,0150000,5.064864864864865,937,370,College Park,74.78605889289308,0.0192102454642476,AL,10981.079454094423,106.52607724273152,54328.29939379307,510,2.891891891891892,"{0: 0, 1: 43, 2: 3, 3: 276, 4: 47, 5: 1}","{0: 0.0, 1: 0.11621621621621622, 2: 0.008108108108108109, 3: 0.745945945945946, 4: 0.12702702702702703, 5: 0.002702702702702703}",0.25586605072021484
4718052.5490370095,1.1363972528163464,Mobile,11976.177587307197,144.1434571263128,56504.23519351462,0150000,4.809815950920245,392,163,Colonial Heights,34.548152718915674,0.030612244897959183,AL,6366.309102401723,145.1042555002124,30036.580888543966,207,2.6134969325153374,"{0: 0, 1: 35, 2: 0, 3: 121, 4: 7}","{0: 0.0, 1: 0.2147239263803681, 2: 0.0, 3: 0.7423312883435583, 4: 0.04294478527607362}",0.06908917427062988
5555178.371261473,1.0797020885852073,Mobile,14720.245108193087,130.62873361773438,81773.58724470173,0150000,4.487455197132617,626,279,Cottage Park,50.22340982664874,0.03514376996805112,AL,7551.347115321228,129.07409282744678,41949.0801689202,325,2.412186379928315,"{0: 0, 1: 87, 2: 0, 3: 182, 4: 10}","{0: 0.0, 1: 0.3118279569892473, 2: 0.0, 3: 0.6523297491039427, 4: 0.035842293906810034}",0.09479141235351562
2915371.948645809,1.106096704813253,Mobile,15878.34699497184,101.51598118422234,46291.287420005385,0150000,4.384615384615385,456,208,Country Club,71.34595642131222,0.010964912280701754,AL,8667.11523809974,95.71160848801752,25267.864640836626,264,2.9375,"{0: 0, 1: 17, 2: 3, 3: 165, 4: 22, 5: 1}","{0: 0.0, 1: 0.08173076923076923, 2: 0.014423076923076924, 3: 0.7932692307692307, 4: 0.10576923076923077, 5: 0.004807692307692308}",0.060060977935791016
4334132.990659727,1.254113696891174,Mobile,14003.298586195277,116.7156891932455,60692.15838048766,0150000,4.521739130434782,520,230,Crestview,53.06713026472918,0.04230769230769231,AL,8180.182559241021,120.18304779534179,35453.99909962583,295,2.6826086956521737,"{0: 0, 1: 56, 2: 0, 3: 135, 4: 39}","{0: 0.0, 1: 0.24347826086956523, 2: 0.0, 3: 0.5869565217391305, 4: 0.16956521739130434}",0.06255984306335449
