,mean,std,min,50%,max
area_km,460.657,858.125,25.685,184.898,8937.429
avg_neighbor_degree_avg,2.886,0.109,2.626,2.875,3.228
avg_weighted_neighbor_degree_avg,0.032,0.018,0.021,0.03,0.321
circuity_avg,1.076,0.019,1.023,1.074,1.14
clustering_coefficient_avg,0.042,0.009,0.015,0.042,0.071
clustering_coefficient_weighted_avg,0.002,0.001,0.0,0.001,0.006
count_intersections,12582.443,26054.183,751.0,4593.0,307848.0
degree_centrality_avg,0.001,0.001,0.0,0.001,0.007
edge_density_km,13455.448,2137.624,7960.945,13351.711,21233.614
edge_length_avg,158.588,17.653,117.341,157.332,223.08
edge_length_total,6352529.697,12624639.898,427005.971,2392865.579,142330796.478
geoid,49207.72,28538.897,199.0,48799.0,98182.0
int_1_streets_prop,0.213,0.055,0.077,0.207,0.416
int_3_streets_prop,0.593,0.046,0.444,0.591,0.778
int_4_streets_prop,0.187,0.063,0.054,0.178,0.422
intersection_density_km,26.469,6.256,12.469,26.029,49.423
k_avg,5.153,0.302,4.307,5.143,6.056
m,40890.085,83677.673,2516.0,14955.0,981646.0
n,16031.732,32584.976,874.0,5830.0,373309.0
node_density_km,33.628,7.641,17.675,33.071,61.655
pagerank_max,0.001,0.001,0.0,0.001,0.003
pagerank_min,0.0,0.0,0.0,0.0,0.0
self_loop_proportion,0.008,0.008,0.0,0.006,0.071
street_density_km,7262.478,1220.966,4217.416,7170.916,11796.746
street_length_avg,161.331,17.765,119.573,160.288,225.92
street_length_total,3479997.379,7026153.054,222327.931,1269336.609,79046835.855
street_segments_count,22011.37,45725.338,1281.0,7868.0,533757.0
streets_per_node_avg,2.764,0.162,2.223,2.77,3.217
