,mean,std,min,50%,max
area_km,460.657,858.125,25.685,184.898,8937.429
avg_neighbor_degree_avg,2.875,0.121,2.315,2.861,3.239
avg_weighted_neighbor_degree_avg,0.038,0.019,0.022,0.035,0.305
circuity_avg,1.081,0.02,1.024,1.079,1.144
clustering_coefficient_avg,0.042,0.009,0.015,0.042,0.066
clustering_coefficient_weighted_avg,0.001,0.001,0.0,0.001,0.005
count_intersections,15960.73,33399.801,828.0,5489.0,341346.0
degree_centrality_avg,0.001,0.001,0.0,0.001,0.006
edge_density_km,14835.903,2606.964,9244.164,14576.269,24808.079
edge_length_avg,141.473,19.95,65.191,139.647,196.171
edge_length_total,7050469.76,14140340.823,444122.505,2678716.85,150305520.708
geoid,49207.72,28538.897,199.0,48799.0,98182.0
int_1_streets_prop,0.216,0.056,0.076,0.211,0.416
int_3_streets_prop,0.577,0.046,0.229,0.577,0.734
int_4_streets_prop,0.171,0.062,0.05,0.162,0.435
intersection_density_km,32.958,10.177,13.805,31.321,115.524
k_avg,5.158,0.324,4.311,5.146,6.135
m,52004.231,107453.364,2773.0,18306.0,1087618.0
n,20408.243,41916.73,964.0,7002.0,417570.0
node_density_km,42.159,12.385,19.909,40.332,127.528
pagerank_max,0.001,0.0,0.0,0.001,0.003
pagerank_min,0.0,0.0,0.0,0.0,0.0
self_loop_proportion,0.008,0.007,0.001,0.007,0.054
street_density_km,7984.699,1470.435,4813.479,7804.15,13515.916
street_length_avg,143.816,20.181,68.662,141.774,200.807
street_length_total,3847476.274,7826197.806,230933.249,1446190.79,83375562.045
street_segments_count,27924.473,58488.934,1410.0,9592.0,592255.0
streets_per_node_avg,2.706,0.169,2.181,2.711,3.211
