area,avg_circuity,avg_edge_length,avg_street_length,edge_count,edge_density_km,geoid,k_0_count,k_0_proportion,k_10_count,k_10_proportion,k_11_count,k_11_proportion,k_12_count,k_12_proportion,k_13_count,k_13_proportion,k_14_count,k_14_proportion,k_15_count,k_15_proportion,k_16_count,k_16_proportion,k_17_count,k_17_proportion,k_18_count,k_18_proportion,k_19_count,k_19_proportion,k_1_count,k_1_proportion,k_20_count,k_20_proportion,k_21_count,k_21_proportion,k_22_count,k_22_proportion,k_23_count,k_23_proportion,k_24_count,k_24_proportion,k_25_count,k_25_proportion,k_26_count,k_26_proportion,k_27_count,k_27_proportion,k_28_count,k_28_proportion,k_29_count,k_29_proportion,k_2_count,k_2_proportion,k_30_count,k_30_proportion,k_31_count,k_31_proportion,k_32_count,k_32_proportion,k_33_count,k_33_proportion,k_34_count,k_34_proportion,k_35_count,k_35_proportion,k_36_count,k_36_proportion,k_37_count,k_37_proportion,k_38_count,k_38_proportion,k_39_count,k_39_proportion,k_3_count,k_3_proportion,k_40_count,k_40_proportion,k_41_count,k_41_proportion,k_42_count,k_42_proportion,k_43_count,k_43_proportion,k_44_count,k_44_proportion,k_45_count,k_45_proportion,k_46_count,k_46_proportion,k_47_count,k_47_proportion,k_48_count,k_48_proportion,k_49_count,k_49_proportion,k_4_count,k_4_proportion,k_50_count,k_50_proportion,k_51_count,k_51_proportion,k_52_count,k_52_proportion,k_53_count,k_53_proportion,k_54_count,k_54_proportion,k_55_count,k_55_proportion,k_56_count,k_56_proportion,k_57_count,k_57_proportion,k_58_count,k_58_proportion,k_59_count,k_59_proportion,k_5_count,k_5_proportion,k_60_count,k_60_proportion,k_61_count,k_61_proportion,k_62_count,k_62_proportion,k_63_count,k_63_proportion,k_64_count,k_64_proportion,k_65_count,k_65_proportion,k_66_count,k_66_proportion,k_67_count,k_67_proportion,k_68_count,k_68_proportion,k_69_count,k_69_proportion,k_6_count,k_6_proportion,k_70_count,k_70_proportion,k_7_count,k_7_proportion,k_8_count,k_8_proportion,k_9_count,k_9_proportion,k_avg,k_counts,k_proportion,name,node_count,node_density_km,self_loop_proportion,time,total_edge_length,total_street_length
8937429045,1.0659943291483813,138.25425663084818,138.25425663084818,1085951,16798.7177841171,63217,3,7.1952453818516725e-06,1.0,2.398415127283891e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75407,0.18085728950309635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2076,0.004979109804241357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254981,0.6115502875699738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78988,0.18944601407389997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5199,0.012469360246748948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.0,0.0006259863482210955,1.0,2.398415127283891e-06,20.0,4.796830254567781e-05,5.0,1.1992075636419453e-05,0.0,0.0,2.8499767353732652,"{0: 3, 1: 75407, 2: 2076, 3: 254981, 4: 78988, 5: 5199, 6: 261, 7: 20, 8: 5, 9: 0, 10: 1, 11: 0, 12: 0, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0, 28: 0, 29: 0, 30: 0, 31: 0, 32: 0, 33: 0, 34: 0, 35: 0, 36: 0, 37: 0, 38: 0, 39: 0, 40: 0, 41: 0, 42: 0, 43: 0, 44: 0, 45: 0, 46: 0, 47: 0, 48: 0, 49: 0, 50: 0, 51: 0, 52: 0, 53: 0, 54: 0, 55: 0, 56: 0, 57: 0, 58: 0, 59: 0, 60: 0, 61: 0, 62: 0, 63: 0, 64: 0, 65: 0, 66: 0, 67: 0, 68: 0, 69: 0, 70: 1}","{0: 7.1952453818516725e-06, 1: 0.18085728950309635, 2: 0.004979109804241357, 3: 0.6115502875699738, 4: 0.18944601407389997, 5: 0.012469360246748948, 6: 0.0006259863482210955, 7: 4.796830254567781e-05, 8: 1.1992075636419453e-05, 9: 0.0, 10: 2.398415127283891e-06, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 0.0, 27: 0.0, 28: 0.0, 29: 0.0, 30: 0.0, 31: 0.0, 32: 0.0, 33: 0.0, 34: 0.0, 35: 0.0, 36: 0.0, 37: 0.0, 38: 0.0, 39: 0.0, 40: 0.0, 41: 0.0, 42: 0.0, 43: 0.0, 44: 0.0, 45: 0.0, 46: 0.0, 47: 0.0, 48: 0.0, 49: 0.0, 50: 0.0, 51: 0.0, 52: 0.0, 53: 0.0, 54: 0.0, 55: 0.0, 56: 0.0, 57: 0.0, 58: 0.0, 59: 0.0, 60: 0.0, 61: 0.0, 62: 0.0, 63: 0.0, 64: 0.0, 65: 0.0, 66: 0.0, 67: 0.0, 68: 0.0, 69: 0.0, 70: 2.398415127283891e-06}","New York--Newark, NY--NJ--CT Urbanized Area",416942,46.6512235118953,0.0077406807489472365,183.98039317131042,150137348.2425262,83284983.14103001
6850045152,1.1026886430725384,162.94205020031063,162.94205020031063,508276,12090.363153800872,03817,1,4.565063568510191e-06,,,,,,,,,,,,,,,,,,,,,69055,0.3152404647234713,,,,,,,,,,,,,,,,,,,,,811,0.0037022665540617653,,,,,,,,,,,,,,,,,,,,,126385,0.5769555591061606,,,,,,,,,,,,,,,,,,,,,19722,0.09003218369815799,,,,,,,,,,,,,,,,,,,,,2962,0.013521718289927187,,,,,,,,,,,,,,,,,,,,,112.0,0.0005112871196731414,,,4.0,1.8260254274040765e-05,3.0,1.3695190705530574e-05,,,2.4845541074159456,"{0: 1, 1: 69055, 2: 811, 3: 126385, 4: 19722, 5: 2962, 6: 112, 7: 4, 8: 3}","{0: 4.565063568510191e-06, 1: 0.3152404647234713, 2: 0.0037022665540617653, 3: 0.5769555591061606, 4: 0.09003218369815799, 5: 0.013521718289927187, 6: 0.0005112871196731414, 7: 1.8260254274040765e-05, 8: 1.3695190705530574e-05}","Atlanta, GA Urbanized Area",219055,31.97862132865544,0.010419535842731115,78.09707522392273,82819533.5076131,44556753.96070259
6325255332,1.0683966508203686,131.5271475359844,131.5271475359844,827500,17207.007286394095,16264,1,3.339979893321042e-06,,,,,,,,,,,,,,,,,,,,,45384,0.15158164747848218,,,,,,,,,,,,,,,,,,,,,1468,0.00490309048339529,,,,,,,,,,,,,,,,,,,,,172631,0.5765840689639048,,,,,,,,,,,,,,,,,,,,,75870,0.25340427450626746,,,,,,,,,,,,,,,,,,,,,3840,0.012825522790352801,,,,,,,,,,,,,,,,,,,,,187.0,0.0006245762400510349,,,14.0,4.6759718506494594e-05,7.0,2.3379859253247297e-05,1.0,3.339979893321042e-06,2.9731766214767386,"{0: 1, 1: 45384, 2: 1468, 3: 172631, 4: 75870, 5: 3840, 6: 187, 7: 14, 8: 7, 9: 1}","{0: 3.339979893321042e-06, 1: 0.15158164747848218, 2: 0.00490309048339529, 3: 0.5765840689639048, 4: 0.25340427450626746, 5: 0.012825522790352801, 6: 0.0006245762400510349, 7: 4.6759718506494594e-05, 8: 2.3379859253247297e-05, 9: 3.339979893321042e-06}","Chicago, IL--IN Urbanized Area",299403,47.33453185443677,0.009092447129909366,109.80463790893555,108838714.5860271,58855916.219310194
5132095000,1.085331858644389,142.51907048459984,142.51907048459984,520911,14465.778892480243,69076,1,4.955524170569142e-06,,,,,,,,,,,,,,,,,,,,,34842,0.17266037315097005,,,,,,,,,,,,,,,,,,,,,1150,0.005698852796154513,,,,,,,,,,,,,,,,,,,,,125704,0.6229292103372234,,,,,,,,,,,,,,,,,,,,,37123,0.18396392378403825,,,,,,,,,,,,,,,,,,,,,2805,0.013900245298446443,,,,,,,,,,,,,,,,,,,,,164.0,0.0008127059639733392,,,6.0,2.973314502341485e-05,,,,,2.8632869991823386,"{0: 1, 1: 34842, 2: 1150, 3: 125704, 4: 37123, 5: 2805, 6: 164, 7: 6}","{0: 4.955524170569142e-06, 1: 0.17266037315097005, 2: 0.005698852796154513, 3: 0.6229292103372234, 4: 0.18396392378403825, 5: 0.013900245298446443, 6: 0.0008127059639733392, 7: 2.973314502341485e-05}","Philadelphia, PA--NJ--DE--MD Urbanized Area",201795,39.32019964556385,0.009955635415646818,75.93492770195007,74239751.52520339,40771188.51733722
4852285339,1.0992143826816452,132.70255801531562,132.70255801531562,483346,13218.771388182524,09271,0,0.0,,,,,,,,,,,,,,,,,,,,,41233,0.21370670978843384,,,,,,,,,,,,,,,,,,,,,777,0.0040271169574276205,,,,,,,,,,,,,,,,,,,,,125050,0.6481222336246126,,,,,,,,,,,,,,,,,,,,,20031,0.10381876418820164,,,,,,,,,,,,,,,,,,,,,5678,0.029428532926993604,,,,,,,,,,,,,,,,,,,,,167.0,0.0008655450860880472,,,5.0,2.5914523535570276e-05,1.0,5.182904707114055e-06,,,2.7339615013838356,"{0: 0, 1: 41233, 2: 777, 3: 125050, 4: 20031, 5: 5678, 6: 167, 7: 5, 8: 1}","{0: 0.0, 1: 0.21370670978843384, 2: 0.0040271169574276205, 3: 0.6481222336246126, 4: 0.10381876418820164, 5: 0.029428532926993604, 6: 0.0008655450860880472, 7: 2.5914523535570276e-05, 8: 5.182904707114055e-06}","Boston, MA--NH--RI Urbanized Area",192942,39.76311913259477,0.02127668378345947,77.56760001182556,64141250.60647074,34964518.70418934
4612317098,1.0786705354535309,141.135739036025,141.135739036025,563533,17243.967562567675,22042,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30961,0.14283802985845837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515,0.002375943457159202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134908,0.622395689162007,0.0,0.0,0.0,0.0,1.0,4.613482441085829e-06,,,,,,,,,,,,,,,48008,0.2214840650316485,,,,,,,,,,,,,,,,,,,,,2258,0.010417243351971802,,,,,,,,,,,,,,,,,,,,,99.0,0.00045673476166749707,,,6.0,2.7680894646514975e-05,0.0,0.0,0.0,0.0,2.9559274022403073,"{0: 0, 1: 30961, 2: 515, 3: 134908, 4: 48008, 5: 2258, 6: 99, 7: 6, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0, 28: 0, 29: 0, 30: 0, 31: 0, 32: 0, 33: 0, 34: 0, 35: 0, 36: 0, 37: 0, 38: 0, 39: 0, 40: 0, 41: 0, 42: 1}","{0: 0.0, 1: 0.14283802985845837, 2: 0.002375943457159202, 3: 0.622395689162007, 4: 0.2214840650316485, 5: 0.010417243351971802, 6: 0.00045673476166749707, 7: 2.7680894646514975e-05, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 0.0, 27: 0.0, 28: 0.0, 29: 0.0, 30: 0.0, 31: 0.0, 32: 0.0, 33: 0.0, 34: 0.0, 35: 0.0, 36: 0.0, 37: 0.0, 38: 0.0, 39: 0.0, 40: 0.0, 41: 0.0, 42: 4.613482441085829e-06}","Dallas--Fort Worth--Arlington, TX Urbanized Area",216756,46.99503425165413,0.0053075862460583495,83.2452073097229,79534646.42618828,46169242.50804733
4496596605,1.0650892610318534,122.4881399676355,122.4881399676355,816253,22234.88573598707,51445,0,0.0,1.0,3.2003379556881205e-06,,,,,,,,,,,,,,,,,,,65496,0.20960933474574914,,,,,,,,,,,,,,,,,,,,,1579,0.005053333632031543,,,,,,,,,,,,,,,,,,,,,177899,0.569336921978961,,,,,,,,,,,,,,,,,,,,,64345,0.20592574575875214,,,,,,,,,,,,,,,,,,,,,2938,0.009402592913811698,,,,,,,,,,,,,,,,,,,,,188.0,0.0006016635356693667,,,15.0,4.800506933532181e-05,6.0,1.9202027734128725e-05,0.0,0.0,2.8025743518515553,"{0: 0, 1: 65496, 2: 1579, 3: 177899, 4: 64345, 5: 2938, 6: 188, 7: 15, 8: 6, 9: 0, 10: 1}","{0: 0.0, 1: 0.20960933474574914, 2: 0.005053333632031543, 3: 0.569336921978961, 4: 0.20592574575875214, 5: 0.009402592913811698, 6: 0.0006016635356693667, 7: 4.800506933532181e-05, 8: 1.9202027734128725e-05, 9: 0.0, 10: 3.2003379556881205e-06}","Los Angeles--Long Beach--Anaheim, CA Urbanized Area",312467,69.48966684103966,0.003720660138461972,119.78374433517456,99981311.71300238,55053289.60776126
4303344832,1.0992916708073828,114.38111219148735,114.38111219148735,681204,18106.118424415854,40429,1,3.6724875594483924e-06,,,,,,,,,,,,,,,,,,,,,53159,0.19522576617271709,,,,,,,,,,,,,,,,,,,,,759,0.00278741805762133,,,,,,,,,,,,,,,,,,,,,163307,0.5997429258708387,,,,,,,,,,,,,,,,,,,,,50626,0.18592335518463432,,,,,,,,,,,,,,,,,,,,,4256,0.01563010705301236,,,,,,,,,,,,,,,,,,,,,154.0,0.0005655630841550524,,,30.0,0.00011017462678345177,3.0,1.1017462678345177e-05,,,2.826126076497916,"{0: 1, 1: 53159, 2: 759, 3: 163307, 4: 50626, 5: 4256, 6: 154, 7: 30, 8: 3}","{0: 3.6724875594483924e-06, 1: 0.19522576617271709, 2: 0.00278741805762133, 3: 0.5997429258708387, 4: 0.18592335518463432, 5: 0.01563010705301236, 6: 0.0005655630841550524, 7: 0.00011017462678345177, 8: 1.1017462678345177e-05}","Houston, TX Urbanized Area",272295,63.27519885815183,0.01070164003734564,91.96148991584778,77916871.14928995,44657214.26352891
3461205529,1.0732983591016572,143.42123828297258,143.42123828297258,411781,17062.88182732206,23824,0,0.0,0.0,0.0,1.0,6.474503405588791e-06,1.0,6.474503405588791e-06,,,,,,,,,,,,,,,24294,0.1572915857353741,,,,,,,,,,,,,,,,,,,,,631,0.004085411648926528,,,,,,,,,,,,,,,,,,,,,95249,0.6166899748789267,,,,,,,,,,,,,,,,,,,,,31589,0.20452308807914432,,,,,,,,,,,,,,,,,,,,,2596,0.016807810840908502,,,,,,,,,,,,,,,,,,,,,83.0,0.0005373837826638697,,,8.0,5.179602724471033e-05,0.0,0.0,0.0,0.0,2.9213995286561523,"{0: 0, 1: 24294, 2: 631, 3: 95249, 4: 31589, 5: 2596, 6: 83, 7: 8, 8: 0, 9: 0, 10: 0, 11: 1, 12: 1}","{0: 0.0, 1: 0.1572915857353741, 2: 0.004085411648926528, 3: 0.6166899748789267, 4: 0.20452308807914432, 5: 0.016807810840908502, 6: 0.0005373837826638697, 7: 5.179602724471033e-05, 8: 0.0, 9: 0.0, 10: 0.0, 11: 6.474503405588791e-06, 12: 6.474503405588791e-06}","Detroit, MI Urbanized Area",154452,44.623758602576764,0.012212802436246452,57.763054609298706,59058140.92140073,32215984.34299885
3424251729,1.1005448464117296,116.37880193797068,116.37880193797068,498674,16948.25242727229,92242,1,4.8320383470563226e-06,,,,,,,,,,,,,,,,,,,,,53324,0.2576636128184313,,,,,,,,,,,,,,,,,,,,,1046,0.005054312111020913,,,,,,,,,,,,,,,,,,,,,116411,0.5625024160191735,,,,,,,,,,,,,,,,,,,,,31403,0.15174050021260968,,,,,,,,,,,,,,,,,,,,,4565,0.022058255054312113,,,,,,,,,,,,,,,,,,,,,186.0,0.0008987591325524759,,,12.0,5.798446016467587e-05,4.0,1.932815338822529e-05,,,2.6784858324635663,"{0: 1, 1: 53324, 2: 1046, 3: 116411, 4: 31403, 5: 4565, 6: 186, 7: 12, 8: 4}","{0: 4.8320383470563226e-06, 1: 0.2576636128184313, 2: 0.005054312111020913, 3: 0.5625024160191735, 4: 0.15174050021260968, 5: 0.022058255054312113, 6: 0.0008987591325524759, 7: 5.798446016467587e-05, 8: 1.932815338822529e-05}","Washington, DC--VA--MD Urbanized Area",206952,60.437145507534616,0.01530258244865383,80.33630776405334,58035082.67761559,33120274.124781273
