area,area_km,avg_neighbor_degree_avg,avg_weighted_neighbor_degree_avg,circuity_avg,clustering_coefficient_avg,clustering_coefficient_weighted_avg,count_intersections,degree_centrality_avg,edge_density_km,edge_length_avg,edge_length_total,geoid,int_0_streets_count,int_0_streets_prop,int_10_streets_count,int_10_streets_prop,int_11_streets_count,int_11_streets_prop,int_12_streets_count,int_12_streets_prop,int_13_streets_count,int_13_streets_prop,int_14_streets_count,int_14_streets_prop,int_1_streets_count,int_1_streets_prop,int_2_streets_count,int_2_streets_prop,int_3_streets_count,int_3_streets_prop,int_4_streets_count,int_4_streets_prop,int_5_streets_count,int_5_streets_prop,int_6_streets_count,int_6_streets_prop,int_7_streets_count,int_7_streets_prop,int_8_streets_count,int_8_streets_prop,int_9_streets_count,int_9_streets_prop,intersection_density_km,k_avg,m,n,name,node_density_km,pagerank_max,pagerank_max_node,pagerank_min,pagerank_min_node,self_loop_proportion,street_density_km,street_length_avg,street_length_total,street_segments_count,streets_per_node_avg,streets_per_node_counts,streets_per_node_proportion,time
8937429045,8937.429045,2.8618065405633417,0.04051140074870278,1.0660855015492243,0.04021467173455006,0.00029820776901310264,341346,1.2475238096725234e-05,16817.534433127475,138.19697789841757,150305520.70792112,63217,266,0.0006370189429317241,1.0,2.394808056134301e-06,,,,,,,,,75958,0.1819048303278492,5100,0.012213521086284934,256206,0.6135641928299447,78488,0.187963694709869,1379,0.0033024403094092008,159.0,0.00038077448092535386,11.0,2.634288861747731e-05,2.0,4.789616112268602e-06,0.0,0.0,38.1928626544973,5.209272696793352,1087618,417570,"New York--Newark, NY--NJ--CT Urbanized Area",46.7214898040066,1.4202833460145293e-05,1863926884,3.632283267208398e-07,254806534,0.007694797254182995,9328.808276472839,140.77645954088146,83375562.04538475,592255,2.817922743492109,"{0: 266, 1: 75958, 2: 5100, 3: 256206, 4: 78488, 5: 1379, 6: 159, 7: 11, 8: 2, 9: 0, 10: 1}","{0: 0.0006370189429317241, 1: 0.1819048303278492, 2: 0.012213521086284934, 3: 0.6135641928299447, 4: 0.187963694709869, 5: 0.0033024403094092008, 6: 0.00038077448092535386, 7: 2.634288861747731e-05, 8: 4.789616112268602e-06, 9: 0.0, 10: 2.394808056134301e-06}",418.83444809913635
6850045152,6850.045152,2.7331398306711576,0.03354452481551968,1.102635273862193,0.039578421939806346,0.0004909639354813939,149645,2.116398617662818e-05,12111.96279979326,163.0246677472327,82967492.05792816,03817,188,0.000857261414572532,,,,,,,,,,,69470,0.31677633228911595,2920,0.013314911332722307,126910,0.5786970538478726,19316,0.08807905044618633,469,0.002138593635289987,29.0,0.0001322371330989544,1.0,4.559901141343256e-06,,,,,21.845841403878676,4.641304496518515,508926,219303,"Atlanta, GA Urbanized Area",32.0148254695767,2.0319196736689334e-05,2519728759,6.883396585630394e-07,4002944297,0.010398368328597871,6515.6320371353295,165.0050228961213,44632373.648194745,270491,2.443331828565957,"{0: 188, 1: 69470, 2: 2920, 3: 126910, 4: 19316, 5: 469, 6: 29, 7: 1}","{0: 0.000857261414572532, 1: 0.31677633228911595, 2: 0.013314911332722307, 3: 0.5786970538478726, 4: 0.08807905044618633, 5: 0.002138593635289987, 6: 0.0001322371330989544, 7: 4.559901141343256e-06}",197.60005044937134
6325255332,6325.255332,2.9844387366347376,0.036827424440057974,1.0684564069775262,0.03775680579147615,0.0005574929135972682,253789,1.844505823708046e-05,17215.929665819567,131.49380830278758,108895150.9140622,16264,192,0.0006407282944947423,,,,,,,,,,,45678,0.1524332658121398,2969,0.00990792867893172,174493,0.5823052202670369,75419,0.25168274605468216,796,0.0026563527209261194,103.0,0.00034372403298415865,7.0,2.335988573678748e-05,2.0,6.674253067653566e-06,,,40.123123364848226,5.527209261193557,828139,299659,"Chicago, IL--IN Urbanized Area",47.375004528908086,1.8460792511098446e-05,2441215384,5.0420756870822e-07,2405958737,0.00905282808803836,9309.736282126172,132.67347623164036,58886459.05803242,443845,2.9414567892170767,"{0: 192, 1: 45678, 2: 2969, 3: 174493, 4: 75419, 5: 796, 6: 103, 7: 7, 8: 2}","{0: 0.0006407282944947423, 1: 0.1524332658121398, 2: 0.00990792867893172, 3: 0.5823052202670369, 4: 0.25168274605468216, 5: 0.0026563527209261194, 6: 0.00034372403298415865, 7: 2.335988573678748e-05, 8: 6.674253067653566e-06}",279.59389901161194
5132095000,5132.095,2.8157471218903933,0.09691468295495098,1.0853340361820987,0.04921688026190025,0.00033558808818554215,166828,2.5515801108652968e-05,14489.100115547617,142.455397593607,74359438.25750135,69076,193,0.0009541512997221591,,,,,,,,,,,35253,0.17428339776738483,3335,0.0164875367076342,125862,0.6222351859359088,36709,0.18148155472280175,842,0.0041626704371298335,75.0,0.00037078418382985453,5.0,2.471894558865697e-05,,,,,32.50680277742325,5.161157637659808,521984,202274,"Philadelphia, PA--NJ--DE--MD Urbanized Area",39.413533849237005,1.8175561771153926e-05,472234664,7.473062463325601e-07,103809222,0.009927507356547327,7957.536227144491,141.99674512053764,40838831.88364711,287604,2.8231013377893355,"{0: 193, 1: 35253, 2: 3335, 3: 125862, 4: 36709, 5: 842, 6: 75, 7: 5}","{0: 0.0009541512997221591, 1: 0.17428339776738483, 2: 0.0164875367076342, 3: 0.6222351859359088, 4: 0.18148155472280175, 5: 0.0041626704371298335, 6: 0.00037078418382985453, 7: 2.471894558865697e-05}",180.17588996887207
4852285339,4852.285339,2.7632836143527886,0.03762125572328336,1.0991107251194316,0.051735235624730716,0.0006136432251055737,151213,2.6006416454792602e-05,13228.79515413275,132.87081096881099,64189888.77903259,09271,155,0.0008041504539559014,,,,,,,,,,,41382,0.21469260700389106,3249,0.01685603112840467,127445,0.6611932555123217,19757,0.1025006485084306,696,0.0036108949416342414,64.0,0.00033203631647211416,1.0,5.188067444876784e-06,1.0,5.188067444876784e-06,,,31.163253897010776,5.012710765239948,483100,192750,"Boston, MA--NH--RI Urbanized Area",39.72355014878897,2.793860280360025e-05,67166028,7.814962756298969e-07,70780317,0.02117367004760919,7210.417685926894,133.73470185382862,34987004.025489375,261615,2.662111543450065,"{0: 155, 1: 41382, 2: 3249, 3: 127445, 4: 19757, 5: 696, 6: 64, 7: 1, 8: 1}","{0: 0.0008041504539559014, 1: 0.21469260700389106, 2: 0.01685603112840467, 3: 0.6611932555123217, 4: 0.1025006485084306, 5: 0.0036108949416342414, 6: 0.00033203631647211416, 7: 5.188067444876784e-06, 8: 5.188067444876784e-06}",188.5878620147705
4612317098,4612.317098,2.796321840128878,0.033441259826328375,1.0788914803367682,0.04808535289261358,0.0004961489283547814,187781,2.3673041339246925e-05,17282.833444196694,140.12256950247527,79713908.19655465,22042,134,0.0006112274267781472,,,,,,,,,,,31316,0.14284476191779447,2711,0.012365951895489233,136493,0.6225989937554451,47677,0.21747380616792333,869,0.003963855476643358,31.0,0.0001414033599262878,,,,,,,40.712942325978815,5.189840852799103,568887,219231,"Dallas--Fort Worth--Arlington, TX Urbanized Area",47.53164089586626,2.0310554296980464e-05,2260912768,6.87379405875635e-07,36178286,0.005268181554509067,10036.149963866561,143.6740342609535,46289906.07643382,322187,2.9259365691895765,"{0: 134, 1: 31316, 2: 2711, 3: 136493, 4: 47677, 5: 869, 6: 31}","{0: 0.0006112274267781472, 1: 0.14284476191779447, 2: 0.012365951895489233, 3: 0.6225989937554451, 4: 0.21747380616792333, 5: 0.003963855476643358, 6: 0.0001414033599262878}",193.9366569519043
4496596605,4496.596605,2.922503888902687,0.04006864354299632,1.0651115563450584,0.033179986440266665,0.0005126942750754237,246859,1.6714801611549098e-05,22239.04178266488,122.4873253525296,99999999.77838404,51445,89,0.0002847544392897136,,,,,,,,,,,65602,0.20989281714925612,2064,0.006603743401055831,178777,0.5719948808190689,64256,0.20558630619100943,1625,0.0051991681330987045,125.0,0.00039993601023836185,8.0,2.5595904655255158e-05,4.0,1.2797952327627579e-05,,,54.89907627593381,5.22419452887538,816411,312550,"Los Angeles--Long Beach--Anaheim, CA Urbanized Area",69.50812524576018,1.1652895140099898e-05,1262130028,4.821326331808987e-07,122684296,0.003673394895463192,12245.48009365532,125.89134107416942,55062984.21572559,437385,2.7901071828507438,"{0: 89, 1: 65602, 2: 2064, 3: 178777, 4: 64256, 5: 1625, 6: 125, 7: 8, 8: 4}","{0: 0.0002847544392897136, 1: 0.20989281714925612, 2: 0.006603743401055831, 3: 0.5719948808190689, 4: 0.20558630619100943, 5: 0.0051991681330987045, 6: 0.00039993601023836185, 7: 2.5595904655255158e-05, 8: 1.2797952327627579e-05}",268.2614142894745
4303344832,4303.344832,2.7600052992041526,0.04564030753800886,1.0992565792029456,0.04434071052935781,0.0003276621749885172,219224,1.832391440624121e-05,18128.5472173585,114.25276865952905,78013389.97948767,40429,139,0.0005091631043564581,,,,,,,,,,,53634,0.19646369740326816,2536,0.009289479371568186,165688,0.6069224203928981,50115,0.18357344586204244,855,0.0031319025483796527,29.0,0.00010622827357077184,1.0,3.6630439162335117e-06,,,,,50.94269889083339,5.002355337238138,682814,272997,"Houston, TX Urbanized Area",63.438327779352825,2.937669422790661e-05,485355035,5.526963418606211e-07,668467539,0.010614896589700856,10389.29494567136,116.46140646632932,44708718.712578565,383893,2.7864262244640052,"{0: 139, 1: 53634, 2: 2536, 3: 165688, 4: 50115, 5: 855, 6: 29, 7: 1}","{0: 0.0005091631043564581, 1: 0.19646369740326816, 2: 0.009289479371568186, 3: 0.6069224203928981, 4: 0.18357344586204244, 5: 0.0031319025483796527, 6: 0.00010622827357077184, 7: 3.6630439162335117e-06}",211.57417750358582
3461205529,3461.205529,2.8708557901355305,0.03475313371954748,1.0732870423132654,0.03945488912275728,0.0007720171804084834,130111,3.44883409532337e-05,17076.211937022585,143.3870348951079,59104279.17079836,23824,62,0.0004010115840604363,0.0,0.0,1.0,6.467928775168328e-06,1.0,6.467928775168328e-06,,,,,24436,0.15805030755001326,1434,0.009275009863591381,96838,0.6263412867297505,31475,0.20357805819842312,335,0.00216675613968139,25.0,0.0001616982193792082,2.0,1.2935857550336655e-05,0.0,0.0,0.0,0.0,37.591237766683925,5.332173418106319,412201,154609,"Detroit, MI Urbanized Area",44.669118520872445,2.725918503702125e-05,62987046,9.736321147383935e-07,2918974032,0.012151838544787616,9315.995797612466,143.24110828555766,32244576.16283703,225107,2.8819797036395034,"{0: 62, 1: 24436, 2: 1434, 3: 96838, 4: 31475, 5: 335, 6: 25, 7: 2, 8: 0, 9: 0, 10: 0, 11: 1, 12: 1}","{0: 0.0004010115840604363, 1: 0.15805030755001326, 2: 0.009275009863591381, 3: 0.6263412867297505, 4: 0.20357805819842312, 5: 0.00216675613968139, 6: 0.0001616982193792082, 7: 1.2935857550336655e-05, 8: 0.0, 9: 0.0, 10: 0.0, 11: 6.467928775168328e-06, 12: 6.467928775168328e-06}",130.02129101753235
3424251729,3424.251729,2.745459989477262,0.04321015325286429,1.1005074071820586,0.04419671744381991,0.00039898725750098815,153391,2.3274941463256446e-05,16960.872311442075,116.37397926888177,58078296.33780375,92242,171,0.0008257438938412061,,,,,,,,,,,53524,0.25846266768395737,2302,0.011116154641066996,118916,0.5742348589474904,31084,0.15010189003602367,1024,0.004944805539727456,59.0,0.00028490578793351554,4.0,1.9315646639560376e-05,2.0,9.657823319780188e-06,,,44.79548004632109,4.819891252909419,499066,207086,"Washington, DC--VA--MD Urbanized Area",60.476278144561604,2.6260699635726038e-05,1641877960,7.288190395588714e-07,2927575474,0.01525048791141853,9679.342141586909,120.07834124536828,33144504.063911535,276024,2.630453048491931,"{0: 171, 1: 53524, 2: 2302, 3: 118916, 4: 31084, 5: 1024, 6: 59, 7: 4, 8: 2}","{0: 0.0008257438938412061, 1: 0.25846266768395737, 2: 0.011116154641066996, 3: 0.5742348589474904, 4: 0.15010189003602367, 5: 0.004944805539727456, 6: 0.00028490578793351554, 7: 1.9315646639560376e-05, 8: 9.657823319780188e-06}",172.63653802871704
